Journal name,JCR Abbreviation,ISSN,eISSN,Total Citations,2021 JIF,2021 JCI,% of OA Gold,Category,JIF Quartile
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,3299,4.841,1.55,16.32%,EVOLUTIONARY BIOLOGY - SCIE,Q2
CLADISTICS,CLADISTICS,0748-3007,1096-0031,4808,4.714,1.91,10.26%,EVOLUTIONARY BIOLOGY - SCIE,Q2
Genome Biology and Evolution,GENOME BIOL EVOL,1759-6653,1759-6653,9971,4.065,0.87,99.87%,EVOLUTIONARY BIOLOGY - SCIE,Q2
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,0022-2844,1432-1432,8997,3.973,0.52,27.13%,EVOLUTIONARY BIOLOGY - SCIE,Q2
Evolutionary Biology,EVOL BIOL,0071-3260,1934-2845,1928,3.696,0.67,22.47%,EVOLUTIONARY BIOLOGY - SCIE,Q2
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,0047-2484,1095-8606,9692,3.656,1.55,4.02%,EVOLUTIONARY BIOLOGY - SCIE,Q2
EvoDevo,EVODEVO,N/A,2041-9139,870,3.569,0.58,100%,EVOLUTIONARY BIOLOGY - SCIE,Q2
BMC EVOLUTIONARY BIOLOGY,BMC EVOL BIOL,1471-2148,1471-2148,15425,3.436,0.76,99.74%,EVOLUTIONARY BIOLOGY - SCIE,Q2
Integrative Organismal Biology,INTEGR ORGANISM BIOL,N/A,2517-4843,298,3.207,0.82,98.37%,EVOLUTIONARY BIOLOGY - SCIE,Q2
ZOOLOGICA SCRIPTA,ZOOL SCR,0300-3256,1463-6409,3041,3.185,1.17,11.63%,EVOLUTIONARY BIOLOGY - SCIE,Q3
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,1477-2019,1478-0941,1941,3.152,0.99,6.83%,EVOLUTIONARY BIOLOGY - SCIE,Q3
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,0002-9483,1096-8644,14384,2.963,1.02,13.75%,EVOLUTIONARY BIOLOGY - SCIE,Q3
EVOLUTION & DEVELOPMENT,EVOL DEV,1520-541X,1525-142X,1999,2.839,0.53,16.47%,EVOLUTIONARY BIOLOGY - SCIE,Q3
JOURNAL OF HEREDITY,J HERED,0022-1503,1465-7333,7024,2.679,0.69,24.75%,EVOLUTIONARY BIOLOGY - SCIE,Q3
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,1439-6092,1618-1077,1857,2.663,0.94,21.99%,EVOLUTIONARY BIOLOGY - SCIE,Q3
TAXON,TAXON,0040-0262,1996-8175,6250,2.586,0.54,14.66%,EVOLUTIONARY BIOLOGY - SCIE,Q3
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,0947-5745,1439-0469,1701,2.424,0.93,17.31%,EVOLUTIONARY BIOLOGY - SCIE,Q3
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,1552-5007,1552-5015,1918,2.368,0.65,15.83%,EVOLUTIONARY BIOLOGY - SCIE,Q3
INVERTEBRATE SYSTEMATICS,INVERTEBR SYST,1445-5226,1447-2600,1384,2.364,0.99,3.77%,EVOLUTIONARY BIOLOGY - SCIE,Q3
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,BIOL J LINN SOC,0024-4066,1095-8312,11740,2.277,0.53,6.13%,EVOLUTIONARY BIOLOGY - SCIE,Q4
DEVELOPMENT GENES AND EVOLUTION,DEV GENES EVOL,0949-944X,1432-041X,1733,2.116,0.38,34.55%,EVOLUTIONARY BIOLOGY - SCIE,Q4
Evolutionary Bioinformatics,EVOL BIOINFORM,1176-9343,1176-9343,1423,2.031,0.44,99.19%,EVOLUTIONARY BIOLOGY - SCIE,Q4
AUSTRALIAN SYSTEMATIC BOTANY,AUST SYST BOT,1030-1887,1446-5701,949,1.765,0.4,14.71%,EVOLUTIONARY BIOLOGY - SCIE,Q4
PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST EVOL,0378-2697,1615-6110,5232,1.644,0.42,11.21%,EVOLUTIONARY BIOLOGY - SCIE,Q4
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,J EVOL BIOCHEM PHYS+,0022-0930,1608-3202,927,1.621,0.1,0.86%,EVOLUTIONARY BIOLOGY - SCIE,Q4
INSECT SYSTEMATICS & EVOLUTION,INSECT SYST EVOL,1399-560X,1876-312X,496,1.304,0.63,1.49%,EVOLUTIONARY BIOLOGY - SCIE,Q4
ANTHROPOLOGICAL SCIENCE,ANTHROPOL SCI,0918-7960,1348-8570,393,1.185,0.3,97.83%,EVOLUTIONARY BIOLOGY - SCIE,Q4
SYSTEMATIC BOTANY,SYST BOT,0363-6445,1548-2324,3027,0.933,0.26,1.52%,EVOLUTIONARY BIOLOGY - SCIE,Q4
Ideas in Ecology and Evolution,IDEAS ECOL EVOL,1918-3178,1918-3178,91,N/A,0.15,77.78%,EVOLUTIONARY BIOLOGY - ESCI,N/A
